"Sol: Wavelength (nm)","Sol: Intensity (rel)","Blå himmel: Wavelength (nm)","Blå himmel: Intensity (rel)","Grøn plante: Wavelength (nm)","Grøn plante: Intensity (rel)","Grøn plante 2: Wavelength (nm)","Grøn plante 2: Intensity (rel)","Klippe: Wavelength (nm)","Klippe: Intensity (rel)"
531,0.793372183372,531,0.190560550561,531,0.117541347541,531,0.118553668554,531,0.240673770674
532,0.770771450771,532,0.180996040996,532,0.113414363414,532,0.115187775188,532,0.232545972546
533,0.759261479261,533,0.17822029822,533,0.113813223813,533,0.114487734488,533,0.231561031561
534,0.783298923299,534,0.181989121989,534,0.118566988567,534,0.118818218818,534,0.238414918415
535,0.806913086913,535,0.185188145188,535,0.122645132645,535,0.122412032412,535,0.245228105228
536,0.805993265993,536,0.183381063381,536,0.124289414289,536,0.123173123173,536,0.246432826433
537,0.781947681948,537,0.17712953713,537,0.121472971473,537,0.121357901358,537,0.241141821142
538,0.787092167092,538,0.178733118733,538,0.124370814371,538,0.122977762978,538,0.245317645318
539,0.767926517927,539,0.173503163503,539,0.122755022755,539,0.120971250971,539,0.24093018093
540,0.744365264365,540,0.167931327931,540,0.119315869316,540,0.118053058053,540,0.236526436526
541,0.74263958264,541,0.167605727606,541,0.121546231546,541,0.12034040034,541,0.239912679913
542,0.752969252969,542,0.169477929478,542,0.12546971547,542,0.123401043401,542,0.245651385651
543,0.738378288378,543,0.166396936397,543,0.124891774892,543,0.122497502498,543,0.24535020535
544,0.744015244015,544,0.168167388167,544,0.126877936878,544,0.124532504533,544,0.249583009583
545,0.731878491878,545,0.1660998261,545,0.126706996707,545,0.124540644541,545,0.249037629038
546,0.72583046583,546,0.16491952492,546,0.128131498131,546,0.125826765827,546,0.251243571244
547,0.712757612758,547,0.161704221704,547,0.12748029748,547,0.124329004329,547,0.249745809746
548,0.704935064935,548,0.160035520036,548,0.127052947053,548,0.125195915196,548,0.251565101565
549,0.70044992045,549,0.15927035927,549,0.129157139157,549,0.126095386095,549,0.252358752359
550,0.696371776372,550,0.158098198098,550,0.128937358937,550,0.126046546047,550,0.253034373034
551,0.690413290413,551,0.156071336071,551,0.129173419173,551,0.12668960669,551,0.254035594036
552,0.689257409257,552,0.154406704407,552,0.128689088689,552,0.126148296148,552,0.253201243201
553,0.682688422688,553,0.151496651497,553,0.127146557147,553,0.124736004736,553,0.250030710031
554,0.690014430014,554,0.151667591668,554,0.128660598661,554,0.126315166315,554,0.255403115403
555,0.694312354312,555,0.150487290487,555,0.129148999149,555,0.127381507382,555,0.256957856958
556,0.680352240352,556,0.145774225774,556,0.125559255559,556,0.124573204573,556,0.252700632701
557,0.672322122322,557,0.142660672661,557,0.124037074037,557,0.122741702742,557,0.250197580198
558,0.667653827654,558,0.140271580272,558,0.122539312539,558,0.122570762571,558,0.248028268028
559,0.657511377511,559,0.136665556666,559,0.119193769194,559,0.119428719429,559,0.245138565139
560,0.662655862656,560,0.136698116698,560,0.120447330447,560,0.122041662042,560,0.249403929404
561,0.663591963592,561,0.135884115884,561,0.121228771229,561,0.121630591631,561,0.252370962371
562,0.64942020942,562,0.134492174492,562,0.118436748437,562,0.120161320161,562,0.250445850446
563,0.640661560662,563,0.132058312058,563,0.118176268176,563,0.12064972065,563,0.25117031117
564,0.635362415362,564,0.131602471602,564,0.117354127354,564,0.120609020609,564,0.252733192733
565,0.616778776779,565,0.128012728013,565,0.114293484293,565,0.117882117882,565,0.248296888297
566,0.605557775558,566,0.124357864358,566,0.110825840826,566,0.11638028638,566,0.245032745033
567,0.615004255004,567,0.125863765864,567,0.112966662967,567,0.119151959152,567,0.251512191512
568,0.607352647353,568,0.122835682836,568,0.110288600289,568,0.116661116661,568,0.2492004292
569,0.605854885855,569,0.121191401191,569,0.10848965849,569,0.116050616051,569,0.249794649795
570,0.595101935102,570,0.11752025752,570,0.105616235616,570,0.113730713731,570,0.245806045806
571,0.587254967255,571,0.115884115884,571,0.103658563659,571,0.112827172827,571,0.244776334776
572,0.60233026233,572,0.11765049765,572,0.106072076072,572,0.116294816295,572,0.252985532986
573,0.605276945277,573,0.117316757317,573,0.105127835128,573,0.116327376327,573,0.254808894809
