"Traeplanke: Wavelength (nm)","Traeplanke: Intensity (rel)","Sol direkte: Wavelength (nm)","Sol direkte: Intensity (rel)","Blaa himmel: Wavelength (nm)","Blaa himmel: Intensity (rel)"
453,0.0110001110001,453,0.294655899656,453,0.0188084138084
454,0.0113033263033,454,0.302698227698,454,0.0193354793355
455,0.0113521663522,455,0.307024642025,455,0.0192174492174
456,0.0119952269952,456,0.32231971732,456,0.0204588004588
457,0.0122821622822,457,0.321334776335,457,0.0198767898768
458,0.0118202168202,458,0.314126799127,458,0.0194372294372
459,0.0122394272394,459,0.321021386021,459,0.0196773596774
460,0.012562992563,460,0.325522810523,460,0.0199317349317
461,0.0131388981389,461,0.339950974951,461,0.020934990935
462,0.0134400784401,462,0.351810966811,462,0.0212605912606
463,0.0136741036741,463,0.354014874015,463,0.0212382062382
464,0.0132447182447,464,0.354073889074,464,0.020816960817
465,0.013492988493,465,0.363418618419,465,0.0213094313094
466,0.0137412587413,466,0.367985162985,466,0.0211914011914
467,0.0139183039183,467,0.369546009546,467,0.0216167166167
468,0.0144616494616,468,0.380467865468,468,0.0217612017612
469,0.0149419099419,469,0.394354719355,469,0.0224042624043
470,0.0143334443334,470,0.385187035187,470,0.0215434565435
471,0.0153936803937,471,0.407521182521,471,0.0226647426647
472,0.015991970992,472,0.426971731972,472,0.0236049136049
473,0.0163216413216,473,0.430826025826,473,0.0237717837718
474,0.0174531024531,474,0.450779220779,474,0.0247058497058
475,0.017444962445,475,0.456475191475,475,0.0249765049765
476,0.017913012913,476,0.468335183335,476,0.0253794353794
477,0.018845043845,477,0.487867132867,477,0.0266838716839
478,0.0199805749806,478,0.512751137751,478,0.0278662078662
479,0.0208067858068,479,0.533361638362,479,0.0288714988715
480,0.0214783364783,480,0.549010804011,480,0.0298116698117
481,0.0228438228438,481,0.579564324564,481,0.0317937617938
482,0.0232569282569,482,0.587627002627,482,0.0318181818182
483,0.0239203389203,483,0.599486994487,483,0.0324612424612
484,0.024247974248,484,0.609191919192,484,0.0332162282162
485,0.0236313686314,485,0.610105635106,485,0.032099012099
486,0.0226952676953,486,0.583377918378,486,0.0305971805972
487,0.0260733710734,487,0.635758870759,487,0.034252044252
488,0.0279537129537,488,0.674198024198,488,0.0365617715618
489,0.0292398342398,489,0.695506530507,489,0.0382732082732
490,0.0316248566249,490,0.735612350612,490,0.0407803307803
491,0.0312707662708,491,0.73686998187,491,0.0402512302512
492,0.0320135420135,492,0.734130869131,492,0.0406826506827
493,0.0330493580494,493,0.75376049876,493,0.041692011692
494,0.0345471195471,494,0.773797128797,494,0.0434787434787
495,0.0354750804751,495,0.793636363636,495,0.044425019425
496,0.0366228216228,496,0.799104414104,496,0.0449968549969
497,0.0366960816961,497,0.815278610279,497,0.0452817552818
498,0.0363338513339,498,0.808375883376,498,0.044190994191
499,0.0375813075813,499,0.83106005106,499,0.0453835053835
500,0.036980981981,500,0.825828060828,500,0.0443212343212
501,0.036048951049,501,0.813414548415,501,0.0429862729863
502,0.0375874125874,502,0.833605838606,502,0.0442235542236
503,0.0380574980575,503,0.847635142635,503,0.0442784992785
504,0.0378153328153,504,0.832421467421,504,0.0433525733526
505,0.0398421948422,505,0.859950974951,505,0.0456032856033
506,0.0405585155585,506,0.872865097865,506,0.0458922558923
507,0.0401393051393,507,0.865992895993,507,0.0446692196692
508,0.0401352351352,508,0.864798349798,508,0.0450294150294
509,0.0416614866615,509,0.89083009583,509,0.0461283161283
510,0.0407314907315,510,0.876572871573,510,0.0452308802309
511,0.0417347467347,511,0.892645317645,511,0.0464864764865
512,0.0419626669627,512,0.901001036001,512,0.0458596958597
513,0.0411161061161,513,0.882755207755,513,0.0448055648056
514,0.0404506604507,514,0.867500832501,514,0.0436496836497
515,0.0418324268324,515,0.89137954638,515,0.0447974247974
516,0.0395776445776,516,0.864676249676,516,0.0420501720502
517,0.0381327931328,517,0.820508565509,517,0.0403774003774
518,0.0388023088023,518,0.849692529693,518,0.0407070707071
519,0.0413603063603,519,0.877981092981,519,0.0431246531247
520,0.0429842379842,520,0.907256632257,520,0.0444189144189
521,0.043843008843,521,0.917586302586,521,0.0449846449846
522,0.0436802086802,522,0.915687645688,522,0.0445471195471
523,0.0438877788878,523,0.907773522774,523,0.0443415843416
524,0.045584970585,524,0.929035224035,524,0.0456277056277
525,0.0455971805972,525,0.924834979835,525,0.0450253450253
526,0.0423676323676,526,0.890956265956,526,0.0419341769342
527,0.0420766270766,527,0.870756835757,527,0.0417693417693
528,0.0456500906501,528,0.925213490213,528,0.0446102046102
529,0.0464966514967,529,0.937492692493,529,0.044773004773
530,0.0467978317978,530,0.937163022163,530,0.0449113849114
531,0.0476484626485,531,0.943282273282,531,0.0448706848707
532,0.0458128908129,532,0.921623746624,532,0.0431531431531
533,0.0452715802716,533,0.908025863026,533,0.0425711325711
534,0.0467327117327,534,0.928896843897,534,0.0431897731898
